discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Women;19;Karin;HAYASHI;JPN;2005;;;;;7.92;19;;;;;;;;
speed;Women;20;Alivany;Ver Khadijah;INA;2002;;;;;7.96;20;;;;;;;;
speed;Women;21;MINGWEI;NI;CHN;2001;;;;;7.99;21;;;;;;;;
speed;Women;22;Carla;Martínez Vidal;ESP;2002;;;;;8.08;22;;;;;;;;
speed;Women;23;Ai;TAKEUCHI;JPN;2005;;;;;8.13;23;;;;;;;;
speed;Women;24;Erica;Velev;CAN;2002;;;;;8.15;24;;;;;;;;
speed;Women;25;Piper;Kelly;USA;1999;;;;;8.16;25;;;;;;;;
speed;Women;26;Natsumi;HAYASHI;JPN;1991;;;;;8.20;26;;;;;;;;
speed;Women;27;Fumika;KAWAKAMI;JPN;2006;;;;;8.27;27;;;;;;;;
speed;Women;28;Julia;Koch;GER;2000;;;;;8.37;28;;;;;;;;
speed;Women;29;Assel;Marlenova;KAZ;1997;;;;;8.41;29;;;;;;;;
speed;Women;30;Heeju;NOH;KOR;2004;;;;;8.60;30;;;;;;;;
speed;Women;31;Liberty;Runnels;USA;2006;;;;;8.67;31;;;;;;;;
speed;Women;32;Sarah;Vouaux;FRA;1999;;;;;8.73;32;;;;;;;;
speed;Women;33;Sophia;Curcio;USA;2006;;;;;8.74;33;;;;;;;;
speed;Women;34;Kobra;Lakzaiifar;IRI;1993;;;;;8.83;34;;;;;;;;
speed;Women;35;Valeria;Macias Ferreira;MEX;2001;;;;;8.84;35;;;;;;;;
speed;Women;36;PUJA;LESTARI;INA;2003;;;;;9.07;36;;;;;;;;
speed;Women;37;Hanareum;SUNG;KOR;2005;;;;;9.12;37;;;;;;;;
speed;Women;38;Margarita;Agambayeva;KAZ;1999;;;;;9.18;38;;;;;;;;
speed;Women;39;María Fernanda;Hidalgo Amezquita;MEX;2001;;;;;12.11;39;;;;;;;;
